Id,Price
4567,160971.5278728684
5925,121647.12977170604
960,140007.19032179812
3848,114207.11069642587
746,171566.27991218827
868,364913.27393421845
672,104551.90621560166
2471,200716.02464303767
4510,123019.1274786848
8354,246706.82827971567
6393,173828.29217209012
13270,222751.85442005275
5250,238706.79070409577
16751,173791.185342717
11404,138720.96719182396
10588,372774.88226982026
14925,201432.46926508896
6791,229083.24813908906
16097,181191.31497680017
16428,370706.18183057115
6945,343704.210744892
3190,187498.9377737301
15709,426167.4002843006
13155,166200.26879759718
7675,209006.96807497815
14686,241917.43889671026
609,142784.3382511215
11155,158128.03285911545
10869,215106.56559885768
15742,188471.79642155007
9245,199738.53734380915
3340,162666.03738610036
2359,280928.9534724256
8070,208334.67662558312
13707,137710.79434499505
16079,282405.99252307974
15937,286633.051684451
14090,191697.09741194936
9008,203337.16298141747
16384,173553.86878784455
11657,246636.9052765897
13151,148559.85736909497
8990,146168.67468418545
11857,182012.59056551338
1565,148737.50573435647
8174,98410.09573785203
9247,242928.31903149726
10478,220373.02901297327
15509,140006.4419186174
8306,189447.899012431
6642,184351.89111782858
7472,216465.89377662446
15989,132738.3709165249
13682,137241.27009893826
163,234342.11258984957
7076,203343.04331621525
7478,355254.6585395534
3029,188790.07839541478
1814,144108.74636864697
10057,127106.4768111395
15100,199792.20352166175
12694,216058.38745763595
6291,192297.73275803085
12603,163429.20645170083
3218,229607.11644626487
13456,125606.20933361564
10170,227252.0928149967
4530,152695.31230207148
13329,167012.4542923873
4820,150600.43828698638
10896,174244.6834464257
13416,125853.64051319056
2701,226761.19385481087
11265,346615.0879745603
9189,262123.6403901957
1858,180243.2900072721
14536,239166.69388657514
6199,291289.2789459637
14730,155476.92588880926
7510,268517.04003586835
15505,160802.01610905523
7446,186464.9852597
14016,157769.15472244855
14113,103635.93453995266
8721,315352.9764899069
6193,266454.5583244615
5717,175977.40324379917
5427,315784.2306898162
9520,488286.6744696258
6869,98729.36522382863
1658,153811.41093900762
6639,225242.86853771945
6283,198994.39011777696
6257,125268.88757370818
15235,171364.06679425854
902,218098.35645179063
8932,191933.33602558906
16469,365833.33842930326
2825,307578.1265576822
6450,440104.01650441147
11366,181106.50865023592
3801,374255.99560143094
11385,199517.77383929864
1079,207068.91676058082
3202,232918.19203242872
676,234466.2160531543
6185,280807.1246954933
7730,161910.3872815321
2573,179374.57223133332
10978,202652.5503291897
10962,255996.11664214788
8870,206657.05956494642
8496,186855.18803376422
5517,164529.79265103524
927,189860.9232137793
13675,216385.64584947357
1499,219733.52528882283
15536,348446.06903174904
8602,331953.7488501075
12137,422086.7559793335
9865,240356.0745510107
16353,277594.3195036555
15908,210679.61227957875
3944,179942.88904131472
10359,197895.5569351799
15158,220599.7917649486
3259,235047.12941219803
7220,307227.13014330826
13843,214275.22996481624
16736,183376.26412849556
702,264156.514599989
16401,131839.68249002824
12134,186628.34622978402
6918,215766.84749633312
11792,137756.84725474208
3798,140821.4671815373
10395,135405.8870025282
11099,139395.48491700515
7090,195769.0621766519
11260,186012.9870630174
9647,202753.83111379205
2903,391592.08053036575
2071,185231.38299441393
8604,187174.0255117037
9346,197001.17230429343
3945,195914.30161429202
3420,130358.56306295368
10842,125706.38126532051
725,159371.9897891
13931,187273.1070324855
16330,234921.23638361448
9066,428742.8547342939
3326,303108.4701149179
1556,280909.3941857864
6579,108240.52127995533
13877,143621.34839387078
9857,338399.3627286719
7302,257390.64442733166
5684,209200.41883094946
6513,242342.162429875
11342,115002.5639084412
16561,229176.64961196276
6885,173165.18678948842
9308,177002.21005624114
2559,183082.9033806876
6648,174704.3089767134
15260,157535.98324359022
5113,189179.20753340868
16492,184402.88237506596
12034,282773.23830143653
7248,218370.89911435999
2171,214197.447566841
10594,181003.13111666334
13241,212040.2152368522
7032,144598.74562294423
4884,160982.59953844798
903,209404.94284089975
162,163744.13512190434
6566,241993.7703348804
8249,143800.33977037366
13106,166753.28349372422
256,129220.22175332355
7976,174134.7998979755
8575,176852.30476099183
7591,270707.4163105013
3204,211192.77760455717
15804,184963.59051356543
1525,346388.41719556926
9038,204174.2834881285
13628,190542.6036732137
10016,200792.4210788248
10208,219151.64387335174
2008,189272.45984373178
13029,211331.11834778267
5099,129915.2676809283
9923,286827.8949916727
9461,133844.84123989719
11086,171914.26222522807
15057,254288.75134811812
10689,182280.6587574178
2053,220768.41671265935
16630,170607.6807747001
4985,172204.09222095562
13881,256442.0664044977
13225,180684.20005043663
5779,69866.43667076883
10262,183812.6889665811
10762,202080.280040029
9513,194720.67331568326
11128,172059.46864182007
2074,295443.7325629211
933,201066.83959355886
2780,179010.40376114755
6594,110997.15502365558
15394,250254.37416995474
14863,129133.14745681577
6698,204783.81313595662
1611,254671.44456229513
174,190904.9557711326
5160,203031.49617360556
3295,335785.91769719287
4559,391782.6258791938
8254,168287.66001007
10228,99836.66076696014
13924,129294.48616156448
15341,242083.63554146214
4353,177246.3791947926
4334,71097.35097337415
1872,156059.4196019227
7823,178303.25967359936
310,149166.44021017876
3704,252188.8481264863
11615,315119.78235537274
6605,223628.63035692
3381,184244.11039650417
2143,143327.83136743028
3191,251119.61918562645
13980,132681.62057136718
15613,161539.63217187158
10943,256083.98693561606
9654,122389.68552875164
16053,469609.9357937278
14931,220149.8845906789
8299,240803.5164310533
2147,161416.87039607947
11567,309014.2395461821
5905,132769.04188539836
11160,110988.14278217485
8275,149428.4445482022
16398,280388.9558759303
11229,181168.07940419266
10309,148366.27382819954
7340,265845.69285113923
7653,159955.6152278604
272,208119.97238775724
9831,226168.07300276755
